Name of the School,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",251,251,213,37,1,0,251,100.0,2021
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",100,100,55,38,7,0,100,100.0,2021
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",64,64,29,27,8,0,64,100.0,2021
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",100,100,43,41,14,1,99,99.0,2021
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",60,60,27,26,7,0,60,100.0,2021
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",47,47,25,21,1,0,47,100.0,2021
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",169,169,20,62,83,4,169,100.0,2021
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",71,71,32,24,15,0,71,100.0,2021
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",21,21,6,13,2,0,21,100.0,2021
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",49,49,14,30,5,0,49,100.0,2021
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",58,58,29,28,1,0,58,100.0,2021
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",66,66,37,21,8,0,66,100.0,2021
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",16,16,13,3,0,0,16,100.0,2021
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",75,75,9,40,26,0,75,100.0,2021
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",34,34,6,22,6,0,34,100.0,2021
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",46,46,16,16,14,0,46,100.0,2021
"LILAVATI R.S.GIRLVS SCHOOL, NEERA, PURANDAR, PUNE",95,95,61,27,7,0,95,100.0,2021
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",82,82,25,36,21,0,82,100.0,2021
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",14,14,8,6,0,0,14,100.0,2021
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",37,37,28,7,2,0,37,100.0,2021
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",65,65,40,21,4,0,65,100.0,2021
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",58,58,20,23,13,2,58,100.0,2021
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",24,24,10,8,6,0,24,100.0,2021
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",42,42,16,26,0,0,42,100.0,2021
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",59,59,10,30,19,0,59,100.0,2021
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",89,89,41,35,13,0,89,100.0,2021
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",28,28,8,13,7,0,28,100.0,2021
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",22,22,6,15,1,0,22,100.0,2021
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",30,30,4,22,4,0,30,100.0,2021
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",26,26,16,8,2,0,26,100.0,2021
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",27,27,12,10,5,0,27,100.0,2021
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",29,29,23,6,0,0,29,100.0,2021
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",82,82,50,28,4,0,82,100.0,2021
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",25,25,6,15,3,1,25,100.0,2021
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",29,29,15,12,2,0,29,100.0,2021
